mistake,correct
沙糖,砂糖
泛賤,犯賤
波璃,玻璃
波蘿,菠蘿
波蘿包,菠蘿包
注冊,註冊
洗手盤,洗手盆
浪廢,浪費
浸咸水,浸鹹水
消售,銷售
消案,銷案
消毀,銷毀 燒毀
消遙,逍遙
消魂,銷魂
涉取,攝取
涉嚴,涉嫌
清一式,清一色
清徹,清澈
清析,清晰
渣主意,揸主意
渣兜,揸兜
渣手,揸手
渣旗,揸旗
渣槍,揸槍
渣波,揸波
渣車,揸車
游俠,遊俠
游學,遊學
游客,遊客
游戲,遊戲
游艇,遊艇
準許,准許
漂移,飄移
演譯,演繹
漫延,蔓延
漫游,漫遊
漫罵,謾罵
潮洲,潮州
澳州,澳洲
激漲法,激將法
濕診,濕疹
火觸,火燭
灰北克,魁北克
灰諧,詼諧
炒面,炒麪
炮杖,炮仗
炮谷,爆谷
炸糊,詐糊
炸菜,榨菜
炸蛋,炸彈
炸醬面,炸醬麪
烏托幫,烏托邦
烏東,烏冬
烏糟,污糟
烏黑蘭,烏克蘭
無口恥,冇口齒
無須,毋須
煙產,煙剷 煙鏟
煩燥,煩躁
煩腦,煩惱
煩複,繁複
熏陶,薰陶
營利,盈利
燥狂,躁狂
燥鬱,躁鬱
爬龍舟,扒龍舟
爭扎,掙扎
版塊,板塊
牙菜,芽菜
牙較,牙鉸 牙骹
牲蓄,牲畜
狀員,狀元
狡滑,狡猾
猴琴,猴擒
班馬線,斑馬線
現像,現象
理材,理財
甜密,甜蜜
申手,伸手
申手黨,伸手黨
界乎,介乎
界入,介入
界刀,鎅刀 𠝹刀
界手,鎅手 𠝹手
界毒,戒毒
界波袋,鎅波袋 𠝹波袋
略奪,掠奪
番兜,翻兜
番大陸,返大陸
番學,返學
番工,返工
番簡,番梘
番轉頭,返轉頭
痴身,黐身
癲倒,顛倒
癲峰,巔峯 巔峰
癲覆,顛覆
發悔氣,發晦氣
發顛,發癲
益或,抑或
監制,監製
盤菜,盆菜
相方,雙方
相討,商討
真珠,珍珠
眼廉,眼簾
眼捷毛,眼睫毛
