mistake,correct
眼高手底,眼高手低
眾志城城,眾志成城
啋佢都傻,睬佢都傻
彩佢都傻,睬佢都傻
采佢都傻,睬佢都傻
知明人士,知名人士
智識分子,知識分子
智識產權,知識產權
嬌枉過正,矯枉過正
撟枉過正,矯枉過正
破斧沉舟,破釜沉舟
神乎奇技,神乎其技
神僧鬼厭,神憎鬼厭
神彩飛揚,神采飛揚
神魂癲倒,神魂顛倒
禮儀廉恥,禮義廉恥
私相授授,私相授受
秋後算脹,秋後算賬
穿洲過省,穿州過省
突如奇來,突如其來
突如期來,突如其來
特飛猛進,突飛猛進
立桿見影,立竿見影
第一捅金,第一桶金
折哀順變,節哀順變
節哀順便,節哀順變
精神分烈,精神分裂
紀律步隊,紀律部隊
記律部隊,紀律部隊
紫醉金迷,紙醉金迷
細微細眼,細眉細眼
搞盡腦汁,絞盡腦汁
攪盡腦汁,絞盡腦汁
經驗老道,經驗老到
援兵之計,緩兵之計
馨竹難書,罄竹難書
最大惡極,罪大惡極
群情兇湧,群情洶湧
群情凶湧,群情洶湧
習已為常,習以為常
集非成是,習非成是
老謀心算,老謀深算
聚精匯神,聚精會神
聽過隔離,聽過隔籬
事無忌憚,肆無忌憚
肆無忌彈,肆無忌憚
能屈能申,能屈能伸
自以為事,自以為是
自力更新,自力更生
自吹自雷,自吹自擂
自我彭脹,自我膨脹
自我澎脹,自我膨脹
自投羅莽,自投羅網
自身自滅,自生自滅
自傷殘殺,自相殘殺
自傷矛盾,自相矛盾
自知之名,自知之明
自知知明,自知之明
自知自明,自知之明
自然自語,自言自語
自付盈虧,自負盈虧
至理明言,至理名言
與人無由,與人無尤
與身俱來,與生俱來
舉旗不定,舉棋不定
舉腳讚成,舉腳贊成
苟延殘存,苟延殘喘
英雄主意,英雄主義
莫名奇妙,莫名其妙
莫明奇妙,莫明其妙
平水相逢,萍水相逢
萬劫不服,萬劫不復
萬事萬靈,萬試萬靈
落慌而逃,落荒而逃
蛇鼠一鍋,蛇鼠一窩
血盤大口,血盆大口
血肉之驅,血肉之軀
恆之有效,行之有效
行屍酒肉,行屍走肉
行差搭錯,行差踏錯
衣官禽獸,衣冠禽獸
衣食無休,衣食無憂
表露無違,表露無遺
就手旁觀,袖手旁觀
群帶關係,裙帶關係
見人見智,見仁見智
見仁見志,見仁見智
見死不夠,見死不救
見風駛陀,見風駛舵
親歷其景,親歷其境
訓練有數,訓練有素
切身處地,設身處地
語無論次,語無倫次
語無輪次,語無倫次
談可容易,談何容易
委過於人,諉過於人
諗心一層,諗深一層
畏疾忌醫,諱疾忌醫
謝主龍恩,謝主隆恩
變本加勵,變本加厲
貞節排坊,貞節牌坊
貪心怕死,貪生怕死
資本主意,資本主義
走夾唔頭,走夾唔唞
走頭無路,走投無路
起死回身,起死回生
襯低吸納,趁低吸納
襯火打劫,趁火打劫
趨之若騖,趨之若鶩
跳草群舞,跳草裙舞
躝屍格路,躝屍趷路
身先事卒,身先士卒
心同感受,身同感受
輕舉莽動,輕舉妄動
轉彎末角,轉彎抹角
轉而視線,轉移視線
農歷新年,農曆新年
迎難以上,迎難而上
返樸歸真,返璞歸真
果然不同,迥然不同
迫不得意,迫不得已
迫於無耐,迫於無奈
消遙快活,逍遙快活
消遙法外,逍遙法外
做福人群,造福人群
遇人不熟,遇人不淑
游魂野鬼,遊魂野鬼
偏地開花,遍地開花
片地開花,遍地開花
片地黃金,遍地黃金
片體鱗傷,遍體鱗傷
過橋抽版,過橋抽板
道德倫亡,道德淪亡
適可宜止,適可而止
郁身郁世,郁身郁勢
從新做人,重新做人
從新嚟過,重新嚟過
重滔覆轍,重蹈覆轍
重蹈覆徹,重蹈覆轍
量力以為,量力而為
金精火眼,金睛火眼
金壁輝煌,金碧輝煌
挺而走險,鋌而走險
挫強扶弱,鋤強扶弱
舖天蓋地,鋪天蓋地
錯縱複雜,錯綜複雜
轉牛角尖,鑽牛角尖
長廂廝守,長相廝守
長編大論,長篇大論
長途拔涉,長途跋涉
閉露電視,閉路電視
開天辟地,開天闢地
開宗名義,開宗明義
阻頭阻世,阻頭阻勢
隔離鄰舍,隔籬鄰舍
隔離飯香,隔籬飯香
險象橫生,險象環生
隱性埋名,隱姓埋名
集體回億,集體回憶
雙劍合壁,雙劍合璧
雙重國藉,雙重國籍
相重標準,雙重標準
雞無鴨血,雞毛鴨血
雞水咁多,雞碎咁多
難以至信,難以置信
難以致信,難以置信
難以言語,難以言喻
難言之忍,難言之隱
難辭其疚,難辭其咎
青梅足馬,青梅竹馬
順奇自然,順其自然
順期自然,順其自然
順帶一題,順帶一提
順利成章,順理成章
頭暈身慶,頭暈身㷫
頭暈身興,頭暈身㷫
癲倒是非,顛倒是非
顛倒事非,顛倒是非
癲倒黑白,顛倒黑白
故名思義,顧名思義
風山水起,風生水起
漂洋過海,飄洋過海
首開記錄,首開紀錄
骨排效應,骨牌效應
體無原膚,體無完膚
高台貴手,高抬貴手
高枱貴手,高抬貴手
高空襲物,高空擲物
高空雜物,高空擲物
鬼五馬綠,鬼五馬六
鬼晒咁嘈,鬼殺咁嘈
麻目不仁,麻木不仁
皇袍加身,黃袍加身
頂力支持,鼎力支持
龍蛇混集,龍蛇混雜
龍鳳情祥,龍鳳呈祥
